location,date,new_cases
Vietnam,2021/4/27,5
Vietnam,2021/4/28,8
Vietnam,2021/4/29,45
Vietnam,2021/4/30,18
Vietnam,2021/5/1,14
Vietnam,2021/5/2,21
Vietnam,2021/5/3,23
Vietnam,2021/5/4,11
Vietnam,2021/5/5,35
Vietnam,2021/5/6,61
Vietnam,2021/5/7,47
Vietnam,2021/5/8,118
Vietnam,2021/5/9,167
Vietnam,2021/5/10,77
Vietnam,2021/5/11,82
Vietnam,2021/5/12,87
Vietnam,2021/5/13,82
Vietnam,2021/5/14,76
Vietnam,2021/5/15,296
Vietnam,2021/5/16,111
Vietnam,2021/5/17,147
Vietnam,2021/5/18,153
Vietnam,2021/5/19,218
Vietnam,2021/5/20,89
Vietnam,2021/5/21,132
Vietnam,2021/5/22,178
Vietnam,2021/5/23,156
Vietnam,2021/5/24,129
Vietnam,2021/5/25,527
Vietnam,2021/5/26,155
Vietnam,2021/5/27,271
Vietnam,2021/5/28,41
Vietnam,2021/5/29,512
Vietnam,2021/5/30,199
Vietnam,2021/5/31,325
Vietnam,2021/6/1,193
Vietnam,2021/6/2,245
Vietnam,2021/6/3,193
Vietnam,2021/6/4,311
Vietnam,2021/6/5,216
Vietnam,2021/6/6,211
Vietnam,2021/6/7,236
Vietnam,2021/6/8,195
Vietnam,2021/6/9,413
Vietnam,2021/6/10,211
Vietnam,2021/6/11,213
Vietnam,2021/6/12,289
Vietnam,2021/6/13,293
Vietnam,2021/6/14,251
Vietnam,2021/6/15,423
Vietnam,2021/6/16,491
Vietnam,2021/6/17,356
Vietnam,2021/6/18,358
Vietnam,2021/6/19,471
Vietnam,2021/6/20,281
Vietnam,2021/6/21,272
Vietnam,2021/6/22,252
Vietnam,2021/6/23,217
Vietnam,2021/6/24,334
Vietnam,2021/6/25,214
Vietnam,2021/6/26,788
Vietnam,2021/6/27,415
Vietnam,2021/6/28,396
Vietnam,2021/6/29,371
Vietnam,2021/6/30,545
Vietnam,2021/7/1,675
Vietnam,2021/7/2,394
Vietnam,2021/7/3,1189
Vietnam,2021/7/4,951
Vietnam,2021/7/5,1151
Vietnam,2021/7/6,1129
Vietnam,2021/7/7,1144
Vietnam,2021/7/8,1425
Vietnam,2021/7/9,1798
Vietnam,2021/7/10,1862
Vietnam,2021/7/11,2118
Vietnam,2021/7/12,2187
Vietnam,2021/7/13,2744
Vietnam,2021/7/14,2831
Vietnam,2021/7/15,4149
Vietnam,2021/7/16,4114
Vietnam,2021/7/17,4711
Vietnam,2021/7/18,4843
Vietnam,2021/7/19,4335
Vietnam,2021/7/20,5427
Vietnam,2021/7/21,5537
Vietnam,2021/7/22,7125
Vietnam,2021/7/23,8688
Vietnam,2021/7/24,7956
Vietnam,2021/7/25,6261
Vietnam,2021/7/26,5174
Vietnam,2021/7/27,11774
Vietnam,2021/7/28,6519
Vietnam,2021/7/29,9765
Vietnam,2021/7/30,7717
Vietnam,2021/7/31,8938
Vietnam,2021/8/1,7447
Vietnam,2021/8/2,1
Vietnam,2021/8/3,16954
Vietnam,2021/8/4,7295
Vietnam,2021/8/5,7311
Vietnam,2021/8/6,4315
Vietnam,2021/8/7,12275
Vietnam,2021/8/8,9914
Vietnam,2021/8/9,9334
Vietnam,2021/8/10,8143
Vietnam,2021/8/11,8616
Vietnam,2021/8/12,5125
Vietnam,2021/8/13,9181
Vietnam,2021/8/14,9716
Vietnam,2021/8/15,9581
Vietnam,2021/8/16,8652
Vietnam,2021/8/17,9615
Vietnam,2021/8/18,8811
Vietnam,2021/8/19,11511
Vietnam,2021/8/20,11657
Vietnam,2021/8/21,13439
Vietnam,2021/8/22,11352
Vietnam,2021/8/23,11397
Vietnam,2021/8/24,11811
Vietnam,2021/8/25,12196
Vietnam,2021/8/26,11575
Vietnam,2021/8/27,17428
Vietnam,2021/8/28,12113
Vietnam,2021/8/29,12796
Vietnam,2021/8/30,14224
Vietnam,2021/8/31,12617
Vietnam,2021/9/1,11434
Vietnam,2021/9/2,13197
Vietnam,2021/9/3,14922
Vietnam,2021/9/4,9521
Vietnam,2021/9/5,13137
Vietnam,2021/9/6,12481
Vietnam,2021/9/7,14218
Vietnam,2021/9/8,12681
Vietnam,2021/9/9,12421
Vietnam,2021/9/10,13321
Vietnam,2021/9/11,11932
Vietnam,2021/9/12,12126
Vietnam,2021/9/13,11172
Vietnam,2021/9/14,11518
Vietnam,2021/9/15,11585
Vietnam,2021/9/16,11489
Vietnam,2021/9/17,11521
Vietnam,2021/9/18,9373
Vietnam,2021/9/19,11141
Vietnam,2021/9/20,8681
Vietnam,2021/9/21,11692
Vietnam,2021/9/22,11527
Vietnam,2021/9/23,9472
Vietnam,2021/9/24,8537
Vietnam,2021/9/25,9716
Vietnam,2021/9/26,11111
Vietnam,2021/9/27,9362
Vietnam,2021/9/28,4589
Vietnam,2021/9/29,8758
Vietnam,2021/9/30,11357
Vietnam,2021/10/1,6957
Vietnam,2021/10/2,5491
Vietnam,2021/10/3,5376
Vietnam,2021/10/4,5383
Vietnam,2021/10/5,4363
Vietnam,2021/10/6,4363
Vietnam,2021/10/7,4151
Vietnam,2021/10/8,4816
Vietnam,2021/10/9,4491
Vietnam,2021/10/10,3528
Vietnam,2021/10/11,3619
Vietnam,2021/10/12,2949
Vietnam,2021/10/13,3461
Vietnam,2021/10/14,4151
Vietnam,2021/10/15,3797
Vietnam,2021/10/16,3221
Vietnam,2021/10/17,3193
Vietnam,2021/10/18,3168
Vietnam,2021/10/19,3134
Vietnam,2021/10/20,3646
Vietnam,2021/10/21,3636
Vietnam,2021/10/22,3985
Vietnam,2021/10/23,3373
Vietnam,2021/10/24,4145
Vietnam,2021/10/25,3639
Vietnam,2021/10/26,3595
Vietnam,2021/10/27,4411
Vietnam,2021/10/28,4892
Vietnam,2021/10/29,4899
Vietnam,2021/10/30,5227
Vietnam,2021/10/31,5519
Vietnam,2021/11/1,5598
Vietnam,2021/11/2,5637
Vietnam,2021/11/3,7116
Vietnam,2021/11/4,6581
Vietnam,2021/11/5,7514
Vietnam,2021/11/6,7491
Vietnam,2021/11/7,7646
Vietnam,2021/11/8,7988
Vietnam,2021/11/9,8133
Vietnam,2021/11/10,7931
Vietnam,2021/11/11,8162
Vietnam,2021/11/12,8982
Vietnam,2021/11/13,8467
Vietnam,2021/11/14,8176
Vietnam,2021/11/15,8616
Vietnam,2021/11/16,11259
Vietnam,2021/11/17,9849
Vietnam,2021/11/18,11223
Vietnam,2021/11/19,9625
Vietnam,2021/11/20,9531
Vietnam,2021/11/21,9889
Vietnam,2021/11/22,11321
Vietnam,2021/11/23,11132
Vietnam,2021/11/24,11811
Vietnam,2021/11/25,12451
Vietnam,2021/11/26,13119
Vietnam,2021/11/27,16167
Vietnam,2021/11/28,12936
Vietnam,2021/11/29,13771
Vietnam,2021/11/30,13972
Vietnam,2021/12/1,14518
Vietnam,2021/12/2,13698
Vietnam,2021/12/3,14492
Vietnam,2021/12/4,13998
Vietnam,2021/12/5,14314
Vietnam,2021/12/6,14591
