iso_code,continent,location,date,new_cases
VNM,Asia,Vietnam,2020/1/23,2
VNM,Asia,Vietnam,2020/1/24,0
VNM,Asia,Vietnam,2020/1/25,0
VNM,Asia,Vietnam,2020/1/26,0
VNM,Asia,Vietnam,2020/1/27,0
VNM,Asia,Vietnam,2020/1/28,0
VNM,Asia,Vietnam,2020/1/29,0
VNM,Asia,Vietnam,2020/1/30,0
VNM,Asia,Vietnam,2020/1/31,0
VNM,Asia,Vietnam,2020/2/1,4
VNM,Asia,Vietnam,2020/2/2,0
VNM,Asia,Vietnam,2020/2/3,2
VNM,Asia,Vietnam,2020/2/4,0
VNM,Asia,Vietnam,2020/2/5,0
VNM,Asia,Vietnam,2020/2/6,2
VNM,Asia,Vietnam,2020/2/7,0
VNM,Asia,Vietnam,2020/2/8,3
VNM,Asia,Vietnam,2020/2/9,0
VNM,Asia,Vietnam,2020/2/10,1
VNM,Asia,Vietnam,2020/2/11,1
VNM,Asia,Vietnam,2020/2/12,0
VNM,Asia,Vietnam,2020/2/13,1
VNM,Asia,Vietnam,2020/2/14,0
VNM,Asia,Vietnam,2020/2/15,0
VNM,Asia,Vietnam,2020/2/16,0
VNM,Asia,Vietnam,2020/2/17,0
VNM,Asia,Vietnam,2020/2/18,0
VNM,Asia,Vietnam,2020/2/19,0
VNM,Asia,Vietnam,2020/2/20,0
VNM,Asia,Vietnam,2020/2/21,0
VNM,Asia,Vietnam,2020/2/22,0
VNM,Asia,Vietnam,2020/2/23,0
VNM,Asia,Vietnam,2020/2/24,0
VNM,Asia,Vietnam,2020/2/25,0
VNM,Asia,Vietnam,2020/2/26,0
VNM,Asia,Vietnam,2020/2/27,0
VNM,Asia,Vietnam,2020/2/28,0
VNM,Asia,Vietnam,2020/2/29,0
VNM,Asia,Vietnam,2020/3/1,0
VNM,Asia,Vietnam,2020/3/2,0
VNM,Asia,Vietnam,2020/3/3,0
VNM,Asia,Vietnam,2020/3/4,0
VNM,Asia,Vietnam,2020/3/5,0
VNM,Asia,Vietnam,2020/3/6,0
VNM,Asia,Vietnam,2020/3/7,2
VNM,Asia,Vietnam,2020/3/8,12
VNM,Asia,Vietnam,2020/3/9,0
VNM,Asia,Vietnam,2020/3/10,1
VNM,Asia,Vietnam,2020/3/11,7
VNM,Asia,Vietnam,2020/3/12,1
VNM,Asia,Vietnam,2020/3/13,8
VNM,Asia,Vietnam,2020/3/14,6
VNM,Asia,Vietnam,2020/3/15,3
VNM,Asia,Vietnam,2020/3/16,5
VNM,Asia,Vietnam,2020/3/17,5
VNM,Asia,Vietnam,2020/3/18,9
VNM,Asia,Vietnam,2020/3/19,10
VNM,Asia,Vietnam,2020/3/20,6
VNM,Asia,Vietnam,2020/3/21,3
VNM,Asia,Vietnam,2020/3/22,19
VNM,Asia,Vietnam,2020/3/23,10
VNM,Asia,Vietnam,2020/3/24,11
VNM,Asia,Vietnam,2020/3/25,7
VNM,Asia,Vietnam,2020/3/26,12
VNM,Asia,Vietnam,2020/3/27,10
VNM,Asia,Vietnam,2020/3/28,11
VNM,Asia,Vietnam,2020/3/29,14
VNM,Asia,Vietnam,2020/3/30,15
VNM,Asia,Vietnam,2020/3/31,9
VNM,Asia,Vietnam,2020/4/1,6
VNM,Asia,Vietnam,2020/4/2,15
VNM,Asia,Vietnam,2020/4/3,4
VNM,Asia,Vietnam,2020/4/4,3
VNM,Asia,Vietnam,2020/4/5,1
VNM,Asia,Vietnam,2020/4/6,4
VNM,Asia,Vietnam,2020/4/7,4
VNM,Asia,Vietnam,2020/4/8,2
VNM,Asia,Vietnam,2020/4/9,4
VNM,Asia,Vietnam,2020/4/10,2
