iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
VNM,Asia,Vietnam,2021/6/1,7625,193,242,48,1,0.571,77.672,1.966,2.465,0.489,0.01,0.006,1.28,,,,,,,,,,,,,58800,0.599,0.004,243,samples tested,,,,,,10434,,,,,106,77.31,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
VNM,Asia,Vietnam,2021/6/2,7870,245,254.857,49,1,0.571,80.168,2.496,2.596,0.499,0.01,0.006,1.25,,,,,,,,,,4205967,42.844,,58321,0.594,0.004,228.8,samples tested,1110111,1078934,31177,,,10749,1.13,1.1,0.03,,109,77.31,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
VNM,Asia,Vietnam,2021/6/3,8063,193,243.857,49,0,0.429,82.134,1.966,2.484,0.499,0,0.004,1.23,,,,,,,,,51066,4257033,43.364,0.52,56211,0.573,0.004,230.5,samples tested,1156056,1124505,31551,,45945,15392,1.18,1.15,0.03,,157,77.31,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
VNM,Asia,Vietnam,2021/6/4,8364,301,281.143,51,2,0.571,85.2,3.066,2.864,0.52,0.02,0.006,1.22,,,,,,,,,43003,4300036,43.802,0.438,52949,0.539,0.005,188.3,samples tested,1217607,1185206,32401,,61551,22264,1.24,1.21,0.03,,227,77.31,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
VNM,Asia,Vietnam,2021/6/5,8580,216,238.857,53,2,0.857,87.4,2.2,2.433,0.54,0.02,0.009,1.2,,,,,,,,,,,,,53106,0.541,0.004,222.3,samples tested,1243304,1209672,33632,,25697,24014,1.27,1.23,0.03,,245,77.31,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
VNM,Asia,Vietnam,2021/6/6,8791,211,240.571,53,0,0.857,89.55,2.149,2.451,0.54,0,0.009,1.2,,,,,,,,,,4408663,44.909,,50551,0.515,0.005,210.1,samples tested,1248559,1214916,33643,,5255,22844,1.27,1.24,0.03,,233,77.31,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
VNM,Asia,Vietnam,2021/6/7,9027,236,227.857,53,0,0.857,91.954,2.404,2.321,0.54,0,0.009,1.2,,,,,,,,,68923,4477586,45.611,0.702,53199,0.542,0.004,233.5,samples tested,1340098,1301932,38166,,91539,34000,1.37,1.33,0.04,,346,77.31,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
VNM,Asia,Vietnam,2021/6/8,9222,195,228.143,55,2,1,93.94,1.986,2.324,0.56,0.02,0.01,1.2,,,,,,,,,42290,4519876,46.042,0.431,52042,0.53,0.004,228.1,samples tested,1354856,1312741,42115,,14758,35536,1.38,1.34,0.04,,362,77.31,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
VNM,Asia,Vietnam,2021/6/9,9635,413,252.143,55,0,0.857,98.147,4.207,2.568,0.56,0,0.009,1.2,,,,,,,,,62370,4582246,46.677,0.635,53754,0.548,0.005,213.2,samples tested,1389887,1342708,47179,,35031,39968,1.42,1.37,0.05,,407,77.31,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
VNM,Asia,Vietnam,2021/6/10,9835,200,253.143,55,0,0.857,100.185,2.037,2.579,0.56,0,0.009,1.19,,,,,,,,,43798,4626044,47.123,0.446,52716,0.537,0.005,208.2,samples tested,1411548,1361525,50023,,21661,36499,1.44,1.39,0.05,,372,77.31,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,
